user_id,days_signup_age,recency_days,frequency_total,session_duration_avg,feature_count_used,device_type,os_type,user_segment,region,dropoff_label
1,92,77,36,10.28,5,mobile,mac,free,south,1
2,571,85,31,16.2,6,mobile,linux,trial,west,0
3,488,32,40,8.1,11,tablet,android,free,east,0
4,337,42,36,12.32,1,tablet,ios,trial,south,0
5,333,113,42,13.39,11,mobile,mac,free,east,1
6,631,102,38,8.71,11,mobile,android,free,south,1
7,90,49,40,16.03,2,mobile,ios,trial,north,0
8,518,28,32,13.62,14,mobile,android,trial,south,0
9,171,36,29,10.99,11,tablet,windows,free,east,0
10,95,64,48,21.45,10,mobile,linux,free,east,0
11,398,68,30,16.05,11,mobile,mac,free,south,0
12,712,22,33,5.26,12,desktop,windows,premium,north,0
13,545,7,50,10.44,6,mobile,ios,free,north,0
14,562,59,37,21.87,8,tablet,android,premium,north,0
15,532,95,36,8.07,9,mobile,android,premium,east,1
16,580,18,34,12.27,3,mobile,mac,free,south,0
17,389,49,25,16.92,1,tablet,windows,premium,east,0
18,119,19,28,14.61,11,mobile,ios,free,east,0
19,617,29,42,15.19,4,desktop,mac,free,west,0
20,345,73,46,14.95,5,mobile,ios,free,north,1
21,380,34,36,12.1,2,desktop,linux,trial,west,0
22,289,31,33,8.83,7,mobile,mac,premium,west,0
23,157,119,44,13.74,8,desktop,android,free,south,1
24,678,20,46,10.39,13,tablet,ios,free,east,0
25,577,22,36,10.07,7,mobile,android,free,west,0
26,480,111,38,17.93,6,mobile,android,free,north,1
27,311,66,36,10.48,12,desktop,android,trial,west,0
28,605,5,47,18.82,5,tablet,windows,free,east,0
29,411,50,27,13.03,1,mobile,ios,premium,east,1
30,340,67,34,11.36,1,tablet,ios,free,south,1
31,345,30,30,4.73,12,desktop,android,free,west,0
32,189,65,29,20.48,10,desktop,windows,free,west,0
33,94,77,25,11.98,3,mobile,windows,trial,west,1
34,418,30,27,2.92,4,mobile,linux,trial,west,0
35,651,97,47,15.95,12,desktop,windows,free,east,1
36,74,54,34,11.8,9,desktop,linux,free,east,0
37,630,115,32,8.27,7,mobile,windows,free,south,1
38,609,10,25,15.72,6,desktop,windows,premium,north,0
39,223,38,34,1.81,6,desktop,mac,trial,north,1
40,472,86,29,9.14,12,mobile,mac,premium,south,1
41,145,107,40,10.8,3,desktop,mac,free,east,1
42,560,26,39,15.41,13,mobile,windows,free,east,0
43,520,117,30,20.96,4,mobile,windows,free,south,1
44,278,23,37,11.02,4,mobile,ios,free,south,0
45,77,49,31,13.84,6,mobile,linux,free,south,0
46,709,37,36,22.846250000000005,12,desktop,windows,free,west,0
47,341,50,33,12.02,1,desktop,ios,free,west,0
48,655,108,33,13.87,3,mobile,android,free,south,1
49,504,87,39,7.05,6,mobile,ios,free,east,1
50,574,95,47,19.84,2,desktop,mac,trial,west,1
51,561,30,34,9.15,6,mobile,mac,trial,south,0
52,166,113,37,13.07,6,tablet,ios,free,south,1
53,284,52,30,12.96,9,desktop,ios,premium,east,0
54,356,78,36,12.34,5,tablet,ios,premium,east,1
55,378,83,40,10.26,8,desktop,windows,free,west,1
56,60,79,31,12.97,14,tablet,android,trial,north,0
57,412,72,31,19.03,7,desktop,linux,free,west,0
58,138,57,37,21.12,12,mobile,android,free,north,0
59,550,77,30,11.3,4,desktop,linux,free,south,1
60,508,108,41,10.2,13,mobile,ios,free,south,1
61,675,46,35,8.76,8,desktop,mac,free,east,0
62,551,61,36,22.74,2,mobile,android,premium,east,0
63,286,21,43,12.52,13,desktop,mac,premium,north,0
64,707,42,30,16.46,10,desktop,android,free,west,0
65,317,92,33,14.79,5,desktop,windows,free,west,1
66,258,76,30,20.83,9,mobile,windows,premium,north,0
67,663,25,33,11.01,14,tablet,ios,trial,east,0
68,289,65,29,7.57,2,desktop,mac,free,west,1
69,83,97,37,19.44,1,mobile,linux,premium,north,1
70,358,14,37,15.61,12,mobile,mac,free,south,0
71,586,7,36,13.83,5,mobile,ios,free,south,0
72,162,47,30,18.14,12,mobile,android,free,west,0
73,354,78,35,14.05,11,desktop,mac,trial,east,0
74,120,37,33,18.28,13,mobile,ios,free,north,0
75,510,98,33,12.99,11,mobile,android,premium,east,1
76,362,101,37,15.61,14,desktop,linux,trial,east,0
77,261,63,38,14.11,9,mobile,mac,free,east,0
78,188,45,27,10.7,2,desktop,mac,free,west,1
79,425,5,44,11.18,3,mobile,windows,free,north,0
80,498,98,37,10.43,13,mobile,android,free,south,1
81,688,107,34,13.06,5,tablet,android,free,north,1
82,336,53,30,10.18,14,mobile,ios,premium,west,0
83,142,61,31,13.74,13,mobile,windows,trial,west,0
84,612,90,33,13.61,10,tablet,mac,free,west,1
85,470,83,34,12.82,2,mobile,mac,premium,south,1
86,520,16,38,12.89,3,desktop,android,premium,south,0
87,98,80,30,9.74,11,tablet,mac,premium,south,0
88,248,110,42,10.87,6,mobile,android,free,north,1
