user_id,days_signup_age,recency_days,frequency_total,session_duration_avg,feature_count_used,device_type,os_type,user_segment,region,dropoff_label,activity_per_day,recency_ratio,feature_use_ratio,engagement_depth_score,dropoff_risk_proxy,device_risk_weight,segment_risk_weight,weighted_risk_proxy
1.0,92.0,77.0,36.0,10.28,5.0,mobile,mac,free,south,1,0.3870967741935484,0.8279569892473119,0.13513513513513514,51.4,32.116,1.0,1.0,32.116
2.0,571.0,85.0,31.0,16.2,6.0,mobile,linux,trial,west,0,0.05419580419580419,0.1486013986013986,0.1875,97.19999999999999,35.99,1.0,0.8,28.792
3.0,488.0,32.0,40.0,8.1,11.0,tablet,android,free,east,0,0.081799591002045,0.065439672801636,0.2682926829268293,89.1,2.369999999999999,0.8,1.0,2.369999999999999
4.0,337.0,42.0,36.0,12.32,1.0,tablet,ios,trial,south,0,0.10650887573964497,0.1242603550295858,0.02702702702702703,12.32,12.104,0.8,0.8,9.6832
5.0,333.0,113.0,42.0,13.39,11.0,mobile,mac,free,east,1,0.12574850299401197,0.3383233532934132,0.2558139534883721,147.29000000000002,48.882999999999996,1.0,1.0,48.882999999999996
6.0,631.0,102.0,38.0,8.71,11.0,mobile,android,free,south,1,0.060126582278481014,0.16139240506329114,0.28205128205128205,95.81,44.687,1.0,1.0,44.687
7.0,90.0,49.0,40.0,16.03,2.0,mobile,ios,trial,north,0,0.43956043956043955,0.5384615384615384,0.04878048780487805,32.06,13.790999999999997,1.0,0.8,11.032799999999998
8.0,518.0,28.0,32.0,13.62,14.0,mobile,android,trial,south,0,0.06165703275529865,0.05394990366088632,0.42424242424242425,190.67999999999998,-0.8859999999999992,1.0,0.8,-0.7087999999999994
9.0,171.0,36.0,29.0,10.99,11.0,tablet,windows,free,east,0,0.1686046511627907,0.20930232558139536,0.36666666666666664,120.89,6.652999999999997,0.8,1.0,6.652999999999997
10.0,95.0,64.0,48.0,21.45,10.0,mobile,linux,free,east,0,0.5,0.6666666666666666,0.20408163265306123,214.5,15.965,1.0,1.0,15.965
11.0,398.0,68.0,30.0,16.05,11.0,mobile,mac,free,south,0,0.07518796992481203,0.17042606516290726,0.3548387096774194,176.55,24.084999999999994,1.0,1.0,24.084999999999994
12.0,712.0,22.0,33.0,5.26,12.0,desktop,windows,premium,north,0,0.04628330995792426,0.030855539971949508,0.35294117647058826,63.12,-1.4280000000000013,0.6,0.3,-0.4284000000000004
13.0,545.0,7.0,50.0,10.44,6.0,mobile,ios,free,north,0,0.09157509157509157,0.01282051282051282,0.11764705882352941,62.64,-13.832,1.0,1.0,-13.832
14.0,562.0,59.0,37.0,21.87,8.0,tablet,android,premium,north,0,0.06571936056838366,0.10479573712255773,0.21052631578947367,174.96,16.389,0.8,0.3,4.9167
15.0,532.0,95.0,36.0,8.07,9.0,mobile,android,premium,east,1,0.0675422138836773,0.17823639774859287,0.24324324324324326,72.63,41.979,1.0,0.3,12.5937
16.0,580.0,18.0,34.0,12.27,3.0,mobile,mac,free,south,0,0.058519793459552494,0.03098106712564544,0.08571428571428572,36.81,-2.581000000000001,1.0,1.0,-2.581000000000001
17.0,389.0,49.0,25.0,16.92,1.0,tablet,windows,premium,east,0,0.0641025641025641,0.12564102564102564,0.038461538461538464,16.92,17.674,0.8,0.3,5.3022
18.0,119.0,19.0,28.0,14.61,11.0,mobile,ios,free,east,0,0.23333333333333334,0.15833333333333333,0.3793103448275862,160.70999999999998,-4.383,1.0,1.0,-4.383
19.0,617.0,29.0,42.0,15.19,4.0,desktop,mac,free,west,0,0.06796116504854369,0.04692556634304207,0.09302325581395349,60.76,0.742999999999999,0.6,1.0,0.742999999999999
20.0,345.0,73.0,46.0,14.95,5.0,mobile,ios,free,north,1,0.1329479768786127,0.21098265895953758,0.10638297872340426,74.75,25.814999999999998,1.0,1.0,25.814999999999998
21.0,380.0,34.0,36.0,12.1,2.0,desktop,linux,trial,west,0,0.09448818897637795,0.08923884514435695,0.05405405405405406,24.2,6.969999999999999,0.6,0.8,5.576
22.0,289.0,31.0,33.0,8.83,7.0,mobile,mac,premium,west,0,0.11379310344827587,0.10689655172413794,0.20588235294117646,61.81,4.900999999999998,1.0,0.3,1.4702999999999993
