user_id,days_signup_age,recency_days,frequency_total,session_duration_avg,feature_count_used,device_type,os_type,user_segment,region,dropoff_label
1,92,23,30,13.85,13,desktop,linux,trial,east,0
2,571,4,40,16.29,4,mobile,mac,free,north,1
3,488,75,21,7.62,13,mobile,windows,free,north,0
4,337,81,40,14.64,13,tablet,android,trial,north,0
5,333,92,39,16.91,14,desktop,linux,premium,south,0
6,631,114,30,21.38,5,mobile,linux,premium,west,0
7,90,59,29,14.83,10,desktop,android,free,east,0
8,518,99,29,10.16,12,mobile,mac,trial,west,0
9,171,85,35,6.91,2,mobile,windows,free,west,0
10,95,33,37,19.32,1,mobile,android,free,east,0
11,398,101,45,14.95,3,desktop,android,free,north,0
12,712,6,43,11.91,14,desktop,windows,free,north,0
13,545,71,37,5.52,2,mobile,linux,free,south,1
14,562,112,34,8.28,11,mobile,ios,trial,east,0
15,532,79,37,14.53,12,mobile,mac,free,west,0
16,580,112,37,13.42,13,desktop,mac,premium,west,0
17,389,6,44,4.21,8,desktop,mac,free,west,0
18,119,63,43,14.53,8,desktop,linux,free,south,0
19,617,93,30,5.73,11,tablet,ios,free,west,1
20,345,77,32,17.42,9,desktop,windows,free,west,0
21,380,105,30,12.83,12,tablet,mac,free,north,0
22,289,55,30,10.15,6,desktop,ios,free,east,0
23,157,81,36,15.96,14,mobile,mac,free,south,0
24,678,50,41,13.41,7,desktop,linux,free,west,1
25,577,104,36,17.3,4,mobile,android,free,west,0
26,480,14,37,12.32,11,mobile,ios,free,north,0
27,311,30,28,12.56,9,mobile,android,free,east,0
28,605,11,31,10.86,1,mobile,ios,free,west,0
29,411,84,45,13.05,3,desktop,android,free,east,1
30,340,27,37,18.79,1,mobile,mac,trial,west,0
31,345,38,31,9.99,9,mobile,linux,free,east,0
32,189,100,31,14.59,13,tablet,android,trial,west,0
33,94,43,34,8.48,5,desktop,windows,premium,west,0
34,418,17,35,3.73,2,mobile,mac,free,west,0
35,651,2,32,12.83,12,mobile,android,premium,north,0
36,74,27,29,13.48,11,mobile,mac,trial,west,0
37,630,109,33,11.56,8,tablet,linux,trial,south,1
38,609,65,46,6.02,3,mobile,android,premium,east,0
39,223,119,40,13.22,10,tablet,mac,free,east,0
40,472,25,47,13.07,6,mobile,ios,free,east,0
41,145,42,33,8.44,4,desktop,ios,free,north,0
42,560,19,32,6.59,5,mobile,android,trial,west,1
43,520,47,38,10.99,1,mobile,linux,free,east,1
44,278,67,36,14.61,7,mobile,linux,free,east,0
45,77,96,41,13.67,11,mobile,android,premium,east,0
46,709,44,28,8.48,12,tablet,ios,free,east,0
47,341,92,35,12.55,11,desktop,windows,free,south,1
48,655,75,28,15.55,13,mobile,android,free,east,0
49,504,35,27,7.31,14,desktop,android,free,south,0
50,574,109,37,12.25,4,mobile,android,free,west,1
51,561,52,22,17.36,7,tablet,linux,free,north,0
52,166,18,37,6.9,5,mobile,android,premium,north,0
53,284,115,34,16.62,10,mobile,android,free,east,0
54,356,109,36,18.48,12,mobile,android,free,east,0
55,378,5,34,11.11,13,mobile,ios,trial,east,0
56,60,108,31,10.63,2,tablet,mac,free,east,0
57,412,113,30,16.13,8,mobile,mac,free,north,1
58,138,99,43,11.26,2,mobile,android,free,west,1
59,550,30,22,2.59,5,desktop,mac,trial,west,0
60,508,75,30,11.6,7,mobile,ios,free,north,0
61,675,64,37,13.88,9,mobile,linux,trial,north,0
62,551,74,32,14.96,12,desktop,mac,premium,east,0
63,286,73,32,8.48,14,mobile,android,trial,south,0
64,707,76,44,10.92,5,desktop,mac,free,north,1
65,317,61,44,15.91,8,desktop,ios,premium,north,0
66,258,82,38,11.76,1,mobile,mac,free,east,1
67,663,63,34,5.89,2,mobile,android,free,south,1
68,289,1,23,16.95,14,mobile,mac,free,west,0
69,83,4,32,11.14,14,mobile,ios,free,south,0
70,358,114,34,16.36,14,desktop,mac,premium,east,0
